0000CB,COMPU-SHACK ELECTRONIC GMBH
0000CC,Densan Co.
0000CD,Industrial Research Limited
0000CE,MEGADATA CORP.
0000CF,HAYES MICROCOMPUTER PRODUCTS
0000D0,Develcon Electronics
0000D1,Adaptec
0000D2,SBE Inc
0000D3,Wang Labs
0000D4,Puredata
0000D5,MICROGNOSIS INTERNATIONAL
0000D6,PUNCH LINE HOLDING
0000D7,Dartmouth College (NED Router)
0000D8,old Novell NE1000's (before about 1987?) (also 3Com)
0000D9,NIPPON TELEGRAPH & TELEPHONE
0000DA,Atex
0000DB,British Telecommunications plc
0000DC,HAYES MICROCOMPUTER PRODUCTS
0000DD,Gould
0000DE,Unigraph
0000DF,BELL & HOWELL PUB SYS DIV
0000E0,QUADRAM CORP.
0000E1,Hitachi
0000E2,Acer Counterpoint
0000E3,Integrated Micro Products Ltd
0000E4,Mips?
0000E5,SIGMEX LTD.
0000E6,Aptor Produits De Comm Indust
0000E7,Star Gate Technologies
0000E8,Accton Technology Corporation
0000E9,ISICAD
0000EA,UPNOD AB
0000EB,MATSUSHITA COMM. IND. CO. LTD.
0000EC,MICROPROCESS
0000ED,April
0000EE,Network Designers Limited [also KNX Ltd
0000EF,Alantec(now owned by ForeSystems)
0000F0,Samsung
0000F1,MAGNA COMPUTER CORPORATION
0000F2,Spider Communications(Montreal
0000F3,Gandalf Data Ltd. - Canada
0000F4,Allied Telesis
0000F5,DIAMOND SALES LIMITED
0000F6,Madge
0000F7,YOUTH KEEP ENTERPRISE CO LTD
0000F8,Dec
0000F9,QUOTRON SYSTEMS INC.
0000FA,MICROSAGE COMPUTER SYSTEMS INC
0000FB,Rechner zur Kommunikation
0000FC,Meiko
0000FD,High Level Hardware (Orion
0000FE,ANNAPOLIS MICRO SYSTEMS
0000FF,Camtec Electronics (UK) Ltd.
000100,EQUIP'TRANS
000101,Private
000102,BBN (Bolt Beranek and Newman
000103,3COM CORPORATION
000104,DVICO Co.
000105,Beckhoff Automation GmbH
000106,Tews Datentechnik GmbH
000107,Leiser GmbH
000108,AVLAB Technology
000109,Nagano Japan Radio Co.
00010A,CIS TECHNOLOGY INC.
00010B,Space CyberLink
00010C,System Talks Inc.
00010D,Teledyne DALSA Inc.
00010E,Bri-Link Technologies Co.
00010F,Brocade Communications Systems
000110,Gotham Networks
000111,iDigm Inc.
000112,Shark Multimedia Inc.
000113,OLYMPUS CORPORATION
000114,KANDA TSUSHIN KOGYO CO.
000115,EXTRATECH CORPORATION
000116,Netspect Technologies
000117,Canal+                 # Canal +
000118,EZ Digital Co.
000119,RTUnet (Australia)
00011A,Hoffmann und Burmeister GbR
00011B,Unizone Technologies
00011C,Universal Talkware Corporation
00011D,Centillium Communications
